% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753665	  0.00426023	-99
196209	 -0.00407476	  0.01172080	-99
196210	 -0.10421182	 -0.07442466	-99
196211	 -0.01974170	  0.02854555	-99
196212	 -0.00508932	  0.01435009	-99
196301	 -0.05579688	  0.00947839	-99
196302	  0.01440415	  0.02613564	-99
196303	 -0.02345353	 -0.02024345	-99
196304	  0.05413256	  0.07758846	-99
196305	  0.00354149	 -0.01296815	-99
196306	  0.00959259	 -0.00137718	-99
196307	  0.01432622	  0.02000063	-99
196308	  0.03377117	  0.03825456	-99
196309	 -0.00754051	  0.01954142	-99
196310	  0.02680674	  0.03214848	-99
196311	 -0.05313628	 -0.06037189	-99
196312	 -0.02057456	  0.01277370	-99
196401	 -0.07136865	 -0.05458403	-99
196402	 -0.02474947	  0.01282732	-99
196403	  0.03138953	  0.04248070	-99
196404	 -0.04066632	 -0.02792935	-99
196405	 -0.02572531	 -0.00683828	-99
196406	 -0.05656731	 -0.01039348	-99
196407	  0.05819052	  0.05649022	-99
196408	 -0.04851473	 -0.04454675	-99
196409	 -0.00816173	  0.01192994	-99
196410	  0.01293438	  0.03857113	-99
196411	  0.01488576	 -0.00442306	-99
196412	 -0.02673007	 -0.01436105	-99
196501	  0.03792484	  0.06992247	-99
196502	 -0.01642848	  0.02190107	-99
196503	  0.03397015	  0.01695863	-99
196504	  0.02236123	  0.04021062	-99
196505	 -0.01294328	  0.03342692	-99
196506	 -0.16340986	 -0.11292735	-99
196507	 -0.08097770	 -0.04921501	-99
196508	 -0.03474854	  0.07316271	-99
196509	  0.02700284	  0.06296259	-99
196510	  0.00619570	 -0.02537194	-99
196511	  0.04447103	  0.06551422	-99
196512	  0.04087982	  0.02379832	-99
196601	  0.03997342	  0.02102552	-99
196602	  0.03502076	  0.04469427	-99
196603	 -0.06624631	 -0.06591837	-99
196604	  0.02544957	  0.05407337	-99
196605	 -0.12120717	 -0.07809699	-99
196606	 -0.05336572	 -0.01286012	-99
196607	 -0.03300131	  0.00835789	-99
196608	 -0.10666850	 -0.08614653	-99
196609	 -0.08782498	 -0.04525136	-99
196610	 -0.20654128	 -0.08383247	-99
196611	 -0.05410496	  0.04992297	-99
196612	 -0.02167905	  0.04663837	-99
196701	 -0.02740850	  0.01260712	-99
196702	 -0.07258040	  0.01452192	-99
196703	 -0.00863176	  0.03556079	-99
196704	 -0.00152597	  0.01949845	-99
196705	  0.01392227	  0.02380060	-99
196706	 -0.06198466	 -0.04897196	-99
196707	 -0.02837509	  0.01356010	-99
196708	  0.02907304	  0.07009106	-99
196709	  0.02354394	  0.03017888	-99
196710	 -0.03053991	 -0.04245539	-99
196711	 -0.03066846	 -0.01226540	-99
196712	  0.00159134	  0.03378711	-99
196801	 -0.02152331	  0.00230428	 -0.02069996	
196802	 -0.03459893	 -0.01935944	  0.02179668	
